
--- Excluded from Scoring (5 events) ---
start_s end_s    label
  00:28 00:33 laughter
  02:46 03:16 obscured
  03:20 03:25 obscured
  03:47 03:55 obscured
  04:21 04:26 obscured
  (not scored — model is not expected to detect these labels)

==============================================================
  Advanced Analysis: 20260501_194746_mp_hs_S08_Vid18_mixed.csv
  signal_col=hs_fear  threshold=0.7  min_frames=10  window=15fr  fill=65%
  pad_start=-0.5s  pad_end=+1.0s
==============================================================
  Precision : 100.00%  (how clean are your triggers?)
  Recall    : 30.77%  (how many scares did you catch?)
  F1-Score  : 0.4706
  Triggers  : 4 total  (4 TP / 0 FP)
  GT Events : 4/13 caught  (5 excluded from scoring)

--- Recall by Label (scoreable) ---
label  caught  total recall_%
 fear       4     13      31%

--- Missed Events (False Negatives) ---
 time label  peak_hs_fear  mean_hs_fear face_detected_%
00:09  fear         0.549         0.154             75%
00:19  fear         0.763         0.185             70%
00:24  fear         0.832         0.454            100%
00:44  fear         0.563         0.276            100%
01:15  fear         0.704         0.205            100%
01:29  fear         0.631         0.171            100%
02:02  fear         0.458         0.151             89%
02:15  fear         0.389         0.081             74%
02:42  fear         0.794         0.102             76%

======================================================================
  === Formula: hs_fear (hs_fear) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.60       8  strict    88.89%    50.00%    0.6400          9
   0.60       8     10    92.31%    63.16%    0.7500         13
   0.60       8     15    87.50%    46.67%    0.6087          8
   0.60       8     20    83.33%    38.46%    0.5263          6
   0.60      10  strict    83.33%    35.71%    0.5000          6
   0.60      10     10    92.31%    63.16%    0.7500         13
   0.60      10     15    87.50%    46.67%    0.6087          8
   0.60      10     20    83.33%    38.46%    0.5263          6
   0.60      12  strict    80.00%    30.77%    0.4444          5
   0.60      12     10    91.67%    61.11%    0.7333         12
   0.60      12     15    87.50%    46.67%    0.6087          8
   0.60      12     20    83.33%    38.46%    0.5263          6
   0.60      15  strict    75.00%    23.08%    0.3529          4
   0.60      15     10    91.67%    61.11%    0.7333         12
   0.60      15     15    87.50%    46.67%    0.6087          8
   0.60      15     20    83.33%    38.46%    0.5263          6

   0.65       5  strict    90.91%    58.82%    0.7143         11
   0.65       5     10    90.00%    52.94%    0.6667         10
   0.65       5     15   100.00%    40.00%    0.5714          6
   0.65       5     20   100.00%    23.08%    0.3750          3
   0.65       8  strict   100.00%    35.71%    0.5263          5
   0.65       8     10    90.00%    52.94%    0.6667         10
   0.65       8     15   100.00%    40.00%    0.5714          6
   0.65       8     20   100.00%    23.08%    0.3750          3
   0.65      10  strict   100.00%    30.77%    0.4706          4
   0.65      10     10    90.00%    52.94%    0.6667         10
   0.65      10     15   100.00%    40.00%    0.5714          6
   0.65      10     20   100.00%    23.08%    0.3750          3
   0.65      12  strict   100.00%    23.08%    0.3750          3
   0.65      12     10   100.00%    50.00%    0.6667          8
   0.65      12     15   100.00%    40.00%    0.5714          6
   0.65      12     20   100.00%    23.08%    0.3750          3
   0.65      15  strict   100.00%    23.08%    0.3750          3
   0.65      15     10   100.00%    50.00%    0.6667          8
   0.65      15     15   100.00%    40.00%    0.5714          6
   0.65      15     20   100.00%    23.08%    0.3750          3

   0.70       5  strict   100.00%    43.75%    0.6087          7
   0.70       5     10   100.00%    46.67%    0.6364          7
   0.70       5     15   100.00%    30.77%    0.4706          4
   0.70       5     20   100.00%    23.08%    0.3750          3
   0.70       8  strict   100.00%    35.71%    0.5263          5
   0.70       8     10   100.00%    46.67%    0.6364          7
   0.70       8     15   100.00%    30.77%    0.4706          4
   0.70       8     20   100.00%    23.08%    0.3750          3
   0.70      10  strict   100.00%    35.71%    0.5263          5
   0.70      10     10   100.00%    46.67%    0.6364          7
   0.70      10     15   100.00%    30.77%    0.4706          4 <-- current
   0.70      10     20   100.00%    23.08%    0.3750          3
   0.70      12  strict   100.00%    23.08%    0.3750          3
   0.70      12     10   100.00%    35.71%    0.5263          5
   0.70      12     15   100.00%    30.77%    0.4706          4
   0.70      12     20   100.00%    23.08%    0.3750          3
   0.70      15  strict   100.00%     7.69%    0.1429          1
   0.70      15     10   100.00%    35.71%    0.5263          5
   0.70      15     15   100.00%    30.77%    0.4706          4
   0.70      15     20   100.00%    23.08%    0.3750          3

   0.75       5  strict   100.00%    21.43%    0.3529          3
   0.75       5     10   100.00%    38.46%    0.5556          5
   0.75       5     15   100.00%    15.38%    0.2667          2
   0.75       5     20   100.00%    15.38%    0.2667          2
   0.75       8  strict   100.00%    21.43%    0.3529          3
   0.75       8     10   100.00%    38.46%    0.5556          5
   0.75       8     15   100.00%    15.38%    0.2667          2
   0.75       8     20   100.00%    15.38%    0.2667          2
   0.75      10  strict   100.00%    21.43%    0.3529          3
   0.75      10     10   100.00%    38.46%    0.5556          5
   0.75      10     15   100.00%    15.38%    0.2667          2
   0.75      10     20   100.00%    15.38%    0.2667          2
   0.75      12  strict   100.00%    15.38%    0.2667          2
   0.75      12     10   100.00%    23.08%    0.3750          3
   0.75      12     15   100.00%    15.38%    0.2667          2
   0.75      12     20   100.00%    15.38%    0.2667          2
   0.75      15  strict   100.00%     7.69%    0.1429          1
   0.75      15     10   100.00%    15.38%    0.2667          2
   0.75      15     15   100.00%    15.38%    0.2667          2
   0.75      15     20   100.00%    15.38%    0.2667          2

   0.80       5  strict   100.00%     7.69%    0.1429          1
   0.80       5     10   100.00%     7.69%    0.1429          1
   0.80       5     15   100.00%     7.69%    0.1429          1
   0.80       5     20     0.00%     0.00%    0.0000          0
   0.80       8  strict   100.00%     7.69%    0.1429          1
   0.80       8     10   100.00%     7.69%    0.1429          1
   0.80       8     15   100.00%     7.69%    0.1429          1
   0.80       8     20     0.00%     0.00%    0.0000          0
   0.80      10  strict   100.00%     7.69%    0.1429          1
   0.80      10     10   100.00%     7.69%    0.1429          1
   0.80      10     15   100.00%     7.69%    0.1429          1
   0.80      10     20     0.00%     0.00%    0.0000          0
   0.80      12  strict   100.00%     7.69%    0.1429          1
   0.80      12     10   100.00%     7.69%    0.1429          1
   0.80      12     15   100.00%     7.69%    0.1429          1
   0.80      12     20     0.00%     0.00%    0.0000          0
   0.80      15  strict     0.00%     0.00%    0.0000          0
   0.80      15     10   100.00%     7.69%    0.1429          1
   0.80      15     15   100.00%     7.69%    0.1429          1
   0.80      15     20     0.00%     0.00%    0.0000          0

======================================================================
  === Formula: hs_fear (raw_hs) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40       5  strict    64.00%    96.97%    0.7711         50
   0.40       5     10    65.00%    96.30%    0.7761         40
   0.40       5     15    66.67%    95.24%    0.7843         30
   0.40       5     20    68.42%    86.67%    0.7647         19
   0.40       8  strict    72.73%    92.31%    0.8136         33
   0.40       8     10    65.00%    96.30%    0.7761         40
   0.40       8     15    66.67%    95.24%    0.7843         30
   0.40       8     20    68.42%    86.67%    0.7647         19
   0.40      10  strict    76.92%    90.91%    0.8333         26
   0.40      10     10    65.00%    96.30%    0.7761         40
   0.40      10     15    66.67%    95.24%    0.7843         30
   0.40      10     20    68.42%    86.67%    0.7647         19
   0.40      12  strict    77.27%    89.47%    0.8293         22
   0.40      12     10    64.10%    96.15%    0.7692         39
   0.40      12     15    66.67%    95.24%    0.7843         30
   0.40      12     20    68.42%    86.67%    0.7647         19
   0.40      15  strict    76.47%    76.47%    0.7647         17
   0.40      15     10    67.65%    95.83%    0.7931         34
   0.40      15     15    66.67%    95.24%    0.7843         30
   0.40      15     20    68.42%    86.67%    0.7647         19

   0.50       5  strict    82.14%    88.46%    0.8519         28
   0.50       5     10    90.91%    86.96%    0.8889         22 <-- BEST F1
   0.50       5     15    86.67%    68.42%    0.7647         15
   0.50       5     20    90.00%    60.00%    0.7200         10
   0.50       8  strict    87.50%    70.00%    0.7778         16
   0.50       8     10    90.91%    86.96%    0.8889         22 <-- BEST F1
   0.50       8     15    86.67%    68.42%    0.7647         15
   0.50       8     20    90.00%    60.00%    0.7200         10
   0.50      10  strict    90.91%    58.82%    0.7143         11
   0.50      10     10    90.91%    86.96%    0.8889         22 <-- BEST F1
   0.50      10     15    86.67%    68.42%    0.7647         15
   0.50      10     20    90.00%    60.00%    0.7200         10
   0.50      12  strict    88.89%    50.00%    0.6400          9
   0.50      12     10    89.47%    80.95%    0.8500         19
   0.50      12     15    86.67%    68.42%    0.7647         15
   0.50      12     20    90.00%    60.00%    0.7200         10
   0.50      15  strict    87.50%    46.67%    0.6087          8
   0.50      15     10    87.50%    70.00%    0.7778         16
   0.50      15     15    86.67%    68.42%    0.7647         15
   0.50      15     20    90.00%    60.00%    0.7200         10

   0.60       5  strict    93.75%    68.18%    0.7895         16
   0.60       5     10    92.31%    63.16%    0.7500         13
   0.60       5     15    87.50%    46.67%    0.6087          8
   0.60       5     20    83.33%    38.46%    0.5263          6
   0.60       8  strict    88.89%    50.00%    0.6400          9
   0.60       8     10    92.31%    63.16%    0.7500         13
   0.60       8     15    87.50%    46.67%    0.6087          8
   0.60       8     20    83.33%    38.46%    0.5263          6
   0.60      10  strict    83.33%    35.71%    0.5000          6
   0.60      10     10    92.31%    63.16%    0.7500         13
   0.60      10     15    87.50%    46.67%    0.6087          8
   0.60      10     20    83.33%    38.46%    0.5263          6
   0.60      12  strict    80.00%    30.77%    0.4444          5
   0.60      12     10    91.67%    61.11%    0.7333         12
   0.60      12     15    87.50%    46.67%    0.6087          8
   0.60      12     20    83.33%    38.46%    0.5263          6
   0.60      15  strict    75.00%    23.08%    0.3529          4
   0.60      15     10    91.67%    61.11%    0.7333         12
   0.60      15     15    87.50%    46.67%    0.6087          8
   0.60      15     20    83.33%    38.46%    0.5263          6

   0.70       5  strict   100.00%    43.75%    0.6087          7
   0.70       5     10   100.00%    46.67%    0.6364          7
   0.70       5     15   100.00%    30.77%    0.4706          4
   0.70       5     20   100.00%    23.08%    0.3750          3
   0.70       8  strict   100.00%    35.71%    0.5263          5
   0.70       8     10   100.00%    46.67%    0.6364          7
   0.70       8     15   100.00%    30.77%    0.4706          4
   0.70       8     20   100.00%    23.08%    0.3750          3
   0.70      10  strict   100.00%    35.71%    0.5263          5
   0.70      10     10   100.00%    46.67%    0.6364          7
   0.70      10     15   100.00%    30.77%    0.4706          4
   0.70      10     20   100.00%    23.08%    0.3750          3
   0.70      12  strict   100.00%    23.08%    0.3750          3
   0.70      12     10   100.00%    35.71%    0.5263          5
   0.70      12     15   100.00%    30.77%    0.4706          4
   0.70      12     20   100.00%    23.08%    0.3750          3
   0.70      15  strict   100.00%     7.69%    0.1429          1
   0.70      15     10   100.00%    35.71%    0.5263          5
   0.70      15     15   100.00%    30.77%    0.4706          4
   0.70      15     20   100.00%    23.08%    0.3750          3

   0.80       5  strict   100.00%     7.69%    0.1429          1
   0.80       5     10   100.00%     7.69%    0.1429          1
   0.80       5     15   100.00%     7.69%    0.1429          1
   0.80       5     20     0.00%     0.00%    0.0000          0
   0.80       8  strict   100.00%     7.69%    0.1429          1
   0.80       8     10   100.00%     7.69%    0.1429          1
   0.80       8     15   100.00%     7.69%    0.1429          1
   0.80       8     20     0.00%     0.00%    0.0000          0
   0.80      10  strict   100.00%     7.69%    0.1429          1
   0.80      10     10   100.00%     7.69%    0.1429          1
   0.80      10     15   100.00%     7.69%    0.1429          1
   0.80      10     20     0.00%     0.00%    0.0000          0
   0.80      12  strict   100.00%     7.69%    0.1429          1
   0.80      12     10   100.00%     7.69%    0.1429          1
   0.80      12     15   100.00%     7.69%    0.1429          1
   0.80      12     20     0.00%     0.00%    0.0000          0
   0.80      15  strict     0.00%     0.00%    0.0000          0
   0.80      15     10   100.00%     7.69%    0.1429          1
   0.80      15     15   100.00%     7.69%    0.1429          1
   0.80      15     20     0.00%     0.00%    0.0000          0

======================================================================
  === Formula: f0 (f0) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40       5  strict    71.88%    85.19%    0.7797         32
   0.40       5     10    78.95%    78.95%    0.7895         19 <-- BEST F1
   0.40       5     15    73.33%    73.33%    0.7333         15
   0.40       5     20    75.00%    60.00%    0.6667         12
   0.40       8  strict    77.78%    66.67%    0.7179         18
   0.40       8     10    78.95%    78.95%    0.7895         19 <-- BEST F1
   0.40       8     15    73.33%    73.33%    0.7333         15
   0.40       8     20    75.00%    60.00%    0.6667         12
   0.40      10  strict    81.25%    65.00%    0.7222         16
   0.40      10     10    78.95%    78.95%    0.7895         19 <-- BEST F1
   0.40      10     15    73.33%    73.33%    0.7333         15
   0.40      10     20    75.00%    60.00%    0.6667         12
   0.40      12  strict    72.73%    50.00%    0.5926         11
   0.40      12     10    78.95%    78.95%    0.7895         19 <-- BEST F1
   0.40      12     15    73.33%    73.33%    0.7333         15
   0.40      12     20    75.00%    60.00%    0.6667         12
   0.40      15  strict    66.67%    40.00%    0.5000          9
   0.40      15     10    76.47%    76.47%    0.7647         17
   0.40      15     15    73.33%    73.33%    0.7333         15
   0.40      15     20    75.00%    60.00%    0.6667         12

   0.50       5  strict    82.35%    70.00%    0.7568         17
   0.50       5     10    84.62%    64.71%    0.7333         13
   0.50       5     15    77.78%    46.67%    0.5833          9
   0.50       5     20    66.67%    28.57%    0.4000          6
   0.50       8  strict    71.43%    35.71%    0.4762          7
   0.50       8     10    84.62%    64.71%    0.7333         13
   0.50       8     15    77.78%    46.67%    0.5833          9
   0.50       8     20    66.67%    28.57%    0.4000          6
   0.50      10  strict    80.00%    28.57%    0.4211          5
   0.50      10     10    84.62%    64.71%    0.7333         13
   0.50      10     15    77.78%    46.67%    0.5833          9
   0.50      10     20    66.67%    28.57%    0.4000          6
   0.50      12  strict    66.67%    15.38%    0.2500          3
   0.50      12     10    84.62%    64.71%    0.7333         13
   0.50      12     15    77.78%    46.67%    0.5833          9
   0.50      12     20    66.67%    28.57%    0.4000          6
   0.50      15  strict   100.00%     7.69%    0.1429          1
   0.50      15     10    83.33%    62.50%    0.7143         12
   0.50      15     15    77.78%    46.67%    0.5833          9
   0.50      15     20    66.67%    28.57%    0.4000          6

   0.60       5  strict   100.00%     7.69%    0.1429          1
   0.60       5     10   100.00%    30.77%    0.4706          4
   0.60       5     15   100.00%    15.38%    0.2667          2
   0.60       5     20   100.00%     7.69%    0.1429          1
   0.60       8  strict   100.00%     7.69%    0.1429          1
   0.60       8     10   100.00%    30.77%    0.4706          4
   0.60       8     15   100.00%    15.38%    0.2667          2
   0.60       8     20   100.00%     7.69%    0.1429          1
   0.60      10  strict   100.00%     7.69%    0.1429          1
   0.60      10     10   100.00%    30.77%    0.4706          4
   0.60      10     15   100.00%    15.38%    0.2667          2
   0.60      10     20   100.00%     7.69%    0.1429          1
   0.60      12  strict   100.00%     7.69%    0.1429          1
   0.60      12     10   100.00%    30.77%    0.4706          4
   0.60      12     15   100.00%    15.38%    0.2667          2
   0.60      12     20   100.00%     7.69%    0.1429          1
   0.60      15  strict   100.00%     7.69%    0.1429          1
   0.60      15     10   100.00%    15.38%    0.2667          2
   0.60      15     15   100.00%    15.38%    0.2667          2
   0.60      15     20   100.00%     7.69%    0.1429          1

   0.70       5  strict   100.00%     7.69%    0.1429          1
   0.70       5     10   100.00%     7.69%    0.1429          1
   0.70       5     15   100.00%     7.69%    0.1429          1
   0.70       5     20   100.00%     7.69%    0.1429          1
   0.70       8  strict   100.00%     7.69%    0.1429          1
   0.70       8     10   100.00%     7.69%    0.1429          1
   0.70       8     15   100.00%     7.69%    0.1429          1
   0.70       8     20   100.00%     7.69%    0.1429          1
   0.70      10  strict   100.00%     7.69%    0.1429          1
   0.70      10     10   100.00%     7.69%    0.1429          1
   0.70      10     15   100.00%     7.69%    0.1429          1
   0.70      10     20   100.00%     7.69%    0.1429          1
   0.70      12  strict   100.00%     7.69%    0.1429          1
   0.70      12     10   100.00%     7.69%    0.1429          1
   0.70      12     15   100.00%     7.69%    0.1429          1
   0.70      12     20   100.00%     7.69%    0.1429          1
   0.70      15  strict     0.00%     0.00%    0.0000          0
   0.70      15     10   100.00%     7.69%    0.1429          1
   0.70      15     15   100.00%     7.69%    0.1429          1
   0.70      15     20   100.00%     7.69%    0.1429          1

   0.80       5  strict     0.00%     0.00%    0.0000          0
   0.80       5     10     0.00%     0.00%    0.0000          0
   0.80       5     15     0.00%     0.00%    0.0000          0
   0.80       5     20     0.00%     0.00%    0.0000          0
   0.80       8  strict     0.00%     0.00%    0.0000          0
   0.80       8     10     0.00%     0.00%    0.0000          0
   0.80       8     15     0.00%     0.00%    0.0000          0
   0.80       8     20     0.00%     0.00%    0.0000          0
   0.80      10  strict     0.00%     0.00%    0.0000          0
   0.80      10     10     0.00%     0.00%    0.0000          0
   0.80      10     15     0.00%     0.00%    0.0000          0
   0.80      10     20     0.00%     0.00%    0.0000          0
   0.80      12  strict     0.00%     0.00%    0.0000          0
   0.80      12     10     0.00%     0.00%    0.0000          0
   0.80      12     15     0.00%     0.00%    0.0000          0
   0.80      12     20     0.00%     0.00%    0.0000          0
   0.80      15  strict     0.00%     0.00%    0.0000          0
   0.80      15     10     0.00%     0.00%    0.0000          0
   0.80      15     15     0.00%     0.00%    0.0000          0
   0.80      15     20     0.00%     0.00%    0.0000          0

======================================================================
  === Formula: f1 (f1) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40       5  strict    82.14%    85.19%    0.8364         28 <-- BEST F1
   0.40       5     10    77.27%    77.27%    0.7727         22
   0.40       5     15    70.59%    66.67%    0.6857         17
   0.40       5     20    78.57%    64.71%    0.7097         14
   0.40       8  strict    73.68%    70.00%    0.7179         19
   0.40       8     10    77.27%    77.27%    0.7727         22
   0.40       8     15    70.59%    66.67%    0.6857         17
   0.40       8     20    78.57%    64.71%    0.7097         14
   0.40      10  strict    76.47%    68.42%    0.7222         17
   0.40      10     10    77.27%    77.27%    0.7727         22
   0.40      10     15    70.59%    66.67%    0.6857         17
   0.40      10     20    78.57%    64.71%    0.7097         14
   0.40      12  strict    75.00%    60.00%    0.6667         12
   0.40      12     10    76.19%    76.19%    0.7619         21
   0.40      12     15    70.59%    66.67%    0.6857         17
   0.40      12     20    78.57%    64.71%    0.7097         14
   0.40      15  strict    87.50%    50.00%    0.6364          8
   0.40      15     10    73.68%    73.68%    0.7368         19
   0.40      15     15    70.59%    66.67%    0.6857         17
   0.40      15     20    78.57%    64.71%    0.7097         14

   0.50       5  strict   100.00%    52.94%    0.6923          9
   0.50       5     10   100.00%    46.67%    0.6364          7
   0.50       5     15   100.00%    46.67%    0.6364          7
   0.50       5     20   100.00%    30.77%    0.4706          4
   0.50       8  strict   100.00%    47.06%    0.6400          8
   0.50       8     10   100.00%    46.67%    0.6364          7
   0.50       8     15   100.00%    46.67%    0.6364          7
   0.50       8     20   100.00%    30.77%    0.4706          4
   0.50      10  strict   100.00%    40.00%    0.5714          6
   0.50      10     10   100.00%    46.67%    0.6364          7
   0.50      10     15   100.00%    46.67%    0.6364          7
   0.50      10     20   100.00%    30.77%    0.4706          4
   0.50      12  strict   100.00%    23.08%    0.3750          3
   0.50      12     10   100.00%    46.67%    0.6364          7
   0.50      12     15   100.00%    46.67%    0.6364          7
   0.50      12     20   100.00%    30.77%    0.4706          4
   0.50      15  strict   100.00%    15.38%    0.2667          2
   0.50      15     10   100.00%    46.67%    0.6364          7
   0.50      15     15   100.00%    46.67%    0.6364          7
   0.50      15     20   100.00%    30.77%    0.4706          4

   0.60       5  strict   100.00%    52.63%    0.6897         10
   0.60       5     10   100.00%    28.57%    0.4444          4
   0.60       5     15   100.00%    15.38%    0.2667          2
   0.60       5     20   100.00%     7.69%    0.1429          1
   0.60       8  strict   100.00%    25.00%    0.4000          4
   0.60       8     10   100.00%    28.57%    0.4444          4
   0.60       8     15   100.00%    15.38%    0.2667          2
   0.60       8     20   100.00%     7.69%    0.1429          1
   0.60      10  strict   100.00%    14.29%    0.2500          2
   0.60      10     10   100.00%    28.57%    0.4444          4
   0.60      10     15   100.00%    15.38%    0.2667          2
   0.60      10     20   100.00%     7.69%    0.1429          1
   0.60      12  strict   100.00%    14.29%    0.2500          2
   0.60      12     10   100.00%    28.57%    0.4444          4
   0.60      12     15   100.00%    15.38%    0.2667          2
   0.60      12     20   100.00%     7.69%    0.1429          1
   0.60      15  strict   100.00%     7.69%    0.1429          1
   0.60      15     10   100.00%    23.08%    0.3750          3
   0.60      15     15   100.00%    15.38%    0.2667          2
   0.60      15     20   100.00%     7.69%    0.1429          1

   0.70       5  strict   100.00%    14.29%    0.2500          2
   0.70       5     10   100.00%    14.29%    0.2500          2
   0.70       5     15     0.00%     0.00%    0.0000          0
   0.70       5     20     0.00%     0.00%    0.0000          0
   0.70       8  strict     0.00%     0.00%    0.0000          0
   0.70       8     10   100.00%    14.29%    0.2500          2
   0.70       8     15     0.00%     0.00%    0.0000          0
   0.70       8     20     0.00%     0.00%    0.0000          0
   0.70      10  strict     0.00%     0.00%    0.0000          0
   0.70      10     10   100.00%    14.29%    0.2500          2
   0.70      10     15     0.00%     0.00%    0.0000          0
   0.70      10     20     0.00%     0.00%    0.0000          0
   0.70      12  strict     0.00%     0.00%    0.0000          0
   0.70      12     10   100.00%    14.29%    0.2500          2
   0.70      12     15     0.00%     0.00%    0.0000          0
   0.70      12     20     0.00%     0.00%    0.0000          0
   0.70      15  strict     0.00%     0.00%    0.0000          0
   0.70      15     10   100.00%    14.29%    0.2500          2
   0.70      15     15     0.00%     0.00%    0.0000          0
   0.70      15     20     0.00%     0.00%    0.0000          0

   0.80       5  strict     0.00%     0.00%    0.0000          0
   0.80       5     10     0.00%     0.00%    0.0000          0
   0.80       5     15     0.00%     0.00%    0.0000          0
   0.80       5     20     0.00%     0.00%    0.0000          0
   0.80       8  strict     0.00%     0.00%    0.0000          0
   0.80       8     10     0.00%     0.00%    0.0000          0
   0.80       8     15     0.00%     0.00%    0.0000          0
   0.80       8     20     0.00%     0.00%    0.0000          0
   0.80      10  strict     0.00%     0.00%    0.0000          0
   0.80      10     10     0.00%     0.00%    0.0000          0
   0.80      10     15     0.00%     0.00%    0.0000          0
   0.80      10     20     0.00%     0.00%    0.0000          0
   0.80      12  strict     0.00%     0.00%    0.0000          0
   0.80      12     10     0.00%     0.00%    0.0000          0
   0.80      12     15     0.00%     0.00%    0.0000          0
   0.80      12     20     0.00%     0.00%    0.0000          0
   0.80      15  strict     0.00%     0.00%    0.0000          0
   0.80      15     10     0.00%     0.00%    0.0000          0
   0.80      15     15     0.00%     0.00%    0.0000          0
   0.80      15     20     0.00%     0.00%    0.0000          0

======================================================================
  === Formula: f2 (f2) ===
  pad_start=0.5s  pad_end=1.0s  fill_ratio=65%
======================================================================
 Thresh   MinFr    Win      Prec       Rec        F1   Triggers
   0.40       5  strict    76.47%    61.90%    0.6842         17
   0.40       5     10    71.43%    58.82%    0.6452         14
   0.40       5     15    69.23%    52.94%    0.6000         13
   0.40       5     20    77.78%    46.67%    0.5833          9
   0.40       8  strict    84.62%    57.89%    0.6875         13 <-- BEST F1
   0.40       8     10    71.43%    58.82%    0.6452         14
   0.40       8     15    69.23%    52.94%    0.6000         13
   0.40       8     20    77.78%    46.67%    0.5833          9
   0.40      10  strict    81.82%    52.94%    0.6429         11
   0.40      10     10    71.43%    58.82%    0.6452         14
   0.40      10     15    69.23%    52.94%    0.6000         13
   0.40      10     20    77.78%    46.67%    0.5833          9
   0.40      12  strict    75.00%    42.86%    0.5455          8
   0.40      12     10    69.23%    52.94%    0.6000         13
   0.40      12     15    69.23%    52.94%    0.6000         13
   0.40      12     20    77.78%    46.67%    0.5833          9
   0.40      15  strict   100.00%    30.77%    0.4706          4
   0.40      15     10    69.23%    52.94%    0.6000         13
   0.40      15     15    69.23%    52.94%    0.6000         13
   0.40      15     20    77.78%    46.67%    0.5833          9

   0.50       5  strict   100.00%    41.18%    0.5833          7
   0.50       5     10   100.00%    28.57%    0.4444          4
   0.50       5     15   100.00%    28.57%    0.4444          4
   0.50       5     20   100.00%     7.69%    0.1429          1
   0.50       8  strict   100.00%    33.33%    0.5000          5
   0.50       8     10   100.00%    28.57%    0.4444          4
   0.50       8     15   100.00%    28.57%    0.4444          4
   0.50       8     20   100.00%     7.69%    0.1429          1
   0.50      10  strict   100.00%    14.29%    0.2500          2
   0.50      10     10   100.00%    28.57%    0.4444          4
   0.50      10     15   100.00%    28.57%    0.4444          4
   0.50      10     20   100.00%     7.69%    0.1429          1
   0.50      12  strict   100.00%    14.29%    0.2500          2
   0.50      12     10   100.00%    28.57%    0.4444          4
   0.50      12     15   100.00%    28.57%    0.4444          4
   0.50      12     20   100.00%     7.69%    0.1429          1
   0.50      15  strict   100.00%    14.29%    0.2500          2
   0.50      15     10   100.00%    28.57%    0.4444          4
   0.50      15     15   100.00%    28.57%    0.4444          4
   0.50      15     20   100.00%     7.69%    0.1429          1

   0.60       5  strict   100.00%    21.43%    0.3529          3
   0.60       5     10   100.00%    14.29%    0.2500          2
